Handle,Title,Tags,Published,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Taxable,Variant Barcode,Cost per item,Status,Photo,Info,Detail,Expiration_date (product.metafields.custom.expiration_date),Stock Status CR (product.metafields.custom.stock_cr),Stock Status NB (product.metafields.custom.stock_nb),Stock Status IN (product.metafields.custom.stock_in),Stock Status BR (product.metafields.custom.stock_br),Wholesaler,
미미네 오리지널 매콤떡볶이 570G(MM TTEOKBOKKI SOUP SPICY 570G),미미네 오리지널 매콤떡볶이 570G(MM TTEOKBOKKI SOUP SPICY 570G),"Frozen Foods, Instant Foods, Instant Noodles, Spicy",TRUE,8809725110160,570,shopify,44,deny,manual,11.90,11.90,TRUE,"=""8809725110160""",9.10,active,O,O,O,-,In stock,6 Left,In stock,In stock,CFC,
바다팜 간편 손질 낙지 500G(DF Webfoot Octopus 500G),바다팜 간편 손질 낙지 500G(DF Webfoot Octopus 500G),"Seafood, New",TRUE,8809067361718,500,shopify,17,deny,manual,24.50,24.50,TRUE,"=""8809067361718""",17.00,active,O,O,O,-,4 Left,4 Left,4 Left,5 Left,CFC,
바다팜 고갈비 260G(DF Mackerel Gogalbi 260G),바다팜 고갈비 260G(DF Mackerel Gogalbi 260G),"Seafood, New",True,8809067368755,260,shopify,25,deny,manual,11.50,11.50,True,"=""8809067368755""",8.50,active,O,O,O,-,3 Left,6 Left,8 Left,8 Left,CFC,
바다팜 고등어 255G(DF Mackerel 255G),바다팜 고등어 255G(DF Mackerel 255G),"Seafood, New",True,8809067368441,255,shopify,28,deny,manual,10.50,10.50,True,"=""8809067368441""",7.80,active,O,O,O,-,Out of stock,9 Left,In stock,6 Left,CFC,
바다팜 국산 순살 갈치 500G(BF Korean Belt Fish 500G),바다팜 국산 순살 갈치 500G(BF Korean Belt Fish 500G),"Seafood, New",TRUE,8809067361930,500,shopify,15,deny,manual,21.50,21.50,TRUE,"=""8809067361930""",15.90,active,O,O,O,-,4 Left,4 Left,3 Left,4 Left,,
바다팜 담백한 긴가이석태 725G(DF Yellow Croaker 725G),바다팜 담백한 긴가이석태 725G(DF Yellow Croaker 725G),Seafood,True,8809067360261,725,shopify,6,deny,manual,37.00,37.00,True,"=""8809067360261""",26.00,active,O,O,O,-,2 Left,2 Left,1 Left,1 Left,CFC,
바다팜 동태전 400G(DF Sliced Pollack 400G),바다팜 동태전 400G(DF Sliced Pollack 400G),Seafood,TRUE,8809067362791,400,shopify,18,deny,manual,13.50,13.50,TRUE,"=""8809067362791""",8.90,active,O,O,O,-,5 Left,6 Left,5 Left,2 Left,CFC,
바다팜 손질가자미 500G(DF Yellowfin Sole Fillet 500G),바다팜 손질가자미 500G(DF Yellowfin Sole Fillet 500G),"Seafood, New",True,8809067368823,500,shopify,17,deny,manual,12.90,12.90,True,"=""8809067368823""",9.30,active,O,O,O,-,4 Left,9 Left,3 Left,1 Left,CFC,
바다팜 절단 코다리 900G(DF Cut Dried Pollack 900G),바다팜 절단 코다리 900G(DF Cut Dried Pollack 900G),Seafood,True,8809067361213,900,shopify,13,deny,manual,17.50,17.50,True,"=""8809067361213""",11.70,active,O,O,O,-,5 Left,5 Left,3 Left,Out of stock,CFC,
바다팜 절단동태 700G(DF CUT POLLACK 700G),바다팜 절단동태 700G(DF CUT POLLACK 700G),"Seafood, New",True,8809067368878,700,shopify,11,deny,manual,13.90,13.90,True,"=""8809067368878""",8.90,active,O,O,,-,3 Left,3 Left,4 Left,1 Left,CFC,
