Handle,Title,Tags,Published,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Taxable,Variant Barcode,Cost per item,Status,Photo,Info,Detail,Expiration_date (product.metafields.custom.expiration_date),Stock Status CR (product.metafields.custom.stock_cr),Stock Status NB (product.metafields.custom.stock_nb),Stock Status IN (product.metafields.custom.stock_in),Stock Status BR (product.metafields.custom.stock_br),Wholesaler,
CJ 비비고 잡채왕교자 770g(CJ Bibigo Japchae Dumpling 770g),CJ 비비고 잡채왕교자 770g(CJ Bibigo Japchae Dumpling 770g),"Dumplings, Vegan, Mild",TRUE,8801007957869,770,shopify,26,deny,manual,23.90,23.90,TRUE,8801007957869,14.03,active,O,O,O,-,In stock,3 Left,9 Left,4 Left,KF,
CJ 비비고 전복죽 280g(CJ Bibigo Rice Porridge with Abalone 280g),CJ 비비고 전복죽 280g(CJ Bibigo Rice Porridge with Abalone 280g),Instant Foods,TRUE,807176720424,280,shopify,0,deny,manual,10.80,10.80,TRUE,807176720424,6.92,active,O,O,,-,Out of stock,Out of stock,Out of stock,Out of stock,KF,
CJ 비비고 총각김치 파우치 450G(CJ Bibigo Radish Kimchi 450G),CJ 비비고 총각김치 파우치 450G(CJ Bibigo Radish Kimchi 450G),"Kimchi, Banchan",TRUE,8801007921938,450,shopify,19,deny,manual,12.40,12.40,TRUE,8801007921938,8.28,active,O,O,,-,7 Left,5 Left,Out of stock,7 Left,KF,
CJ 비비고 치킨 왕교자 700g(CJ Bibigo Mandu(Chicken) 700g),CJ 비비고 치킨 왕교자 700g(CJ Bibigo Mandu(Chicken) 700g),"Dumplings, Mild, Special",TRUE,9360319000063,700,shopify,1,deny,manual,15.75,22.50,TRUE,9360319000063,0,active,O,O,O,Expiration date: 15/08/2025,Out of stock,1 Left,Out of stock,Out of stock,,
CJ 비비고 칩 오리지널 40G(CJ SEAWEED CHIP BROWN RICE 40G),CJ 비비고 칩 오리지널 40G(CJ SEAWEED CHIP BROWN RICE 40G),Snacks,TRUE,8801007761503,40,shopify,0,deny,manual,3.80,3.80,TRUE,8801007761503,2.52,active,O,O,,-,Out of stock,Out of stock,Out of stock,Out of stock,KS,
CJ 비비고 칩 포테이토 40G(CJ SEAWEED CHIP POTATO 40G),CJ 비비고 칩 포테이토 40G(CJ SEAWEED CHIP POTATO 40G),Snacks,TRUE,8801007761541,40,shopify,0,deny,manual,3.80,3.80,TRUE,8801007761541,2.52,active,O,O,,-,Out of stock,Out of stock,Out of stock,Out of stock,KS,
CJ BIBIGO 포기김치 3KG(CJ Whole Cabbage Kimchi 3KG),CJ 비비고 포기김치 3KG(CJ Whole Cabbage Kimchi 3KG),"Kimchi, Banchan",TRUE,8801392045011,3000,shopify,0,deny,manual,56.50,56.50,TRUE,8801392045011,37.7,active,O,O,,-,Out of stock,Out of stock,Out of stock,Out of stock,KF,
CJ 비비고 해물야채왕교자 805g(CJ Bibigo Vegetable&Seafood Dumpling 805g),CJ 비비고 해물야채왕교자 805g(CJ Bibigo Vegetable&Seafood Dumpling 805g),"Dumplings, Mild, Special",TRUE,8801007849232,805,shopify,11,deny,manual,19.12,23.90,TRUE,8801007849232,14.03,active,O,O,O,Expiration date: 06/10/2025,5 Left,6 Left,Out of stock,Out of stock,KF,
CJ 비비고 햇바삭김 불고기 5g*3(CJ bibigo Crispy Seaweed Snack(Bulgogi) 5g*3),CJ 비비고 햇바삭김 불고기 5g*3(CJ bibigo Crispy Seaweed Snack(Bulgogi) 5g*3),"Seaweed, Snacks",TRUE,807176706428,15,shopify,0,deny,manual,4.90,4.90,TRUE,807176706428,2.70,active,O,O,,-,Out of stock,Out of stock,Out of stock,Out of stock,CFC,
CJ 비비고 햇바삭김 와사비 5g*3(CJ bibigo Crispy Seaweed Snack(Wasabi) 5g*3),CJ 비비고 햇바삭김 와사비 5g*3(CJ bibigo Crispy Seaweed Snack(Wasabi) 5g*3),"Seaweed, Snacks",TRUE,807176706404,15,shopify,0,deny,manual,4.90,4.90,TRUE,807176706404,2.70,active,O,O,,-,Out of stock,Out of stock,Out of stock,Out of stock,CFC,
CJ 빵가루 450g(CJ Bread Crumbs 450g),CJ 빵가루 450g(CJ Bread Crumbs 450g),Powder,TRUE,8801007648309,450,shopify,0,deny,manual,8.10,8.10,TRUE,8801007648309,4.46,active,O,O,,-,Out of stock,Out of stock,Out of stock,Out of stock,KF,
CJ 쁘띠첼미초(깔라만시) 900ml(CJ Vinegar Drink(Calamansi) 900ml),CJ 쁘띠첼미초(깔라만시) 900ml(CJ Vinegar Drink(Calamansi) 900ml),"Cordials, Cafe, Vegan",TRUE,8801007618104,900,shopify,0,deny,manual,14.50,14.50,TRUE,8801007618104,8.17,active,O,O,O,-,Out of stock,Out of stock,Out of stock,Out of stock,CFC,
CJ 쁘띠첼미초(석류) 900ml(CJ Vinegar Drink(Pomegranate) 900ml),CJ 쁘띠첼미초(석류) 900ml(CJ Vinegar Drink(Pomegranate) 900ml),"Cordials, Cafe, Vegan",TRUE,8801007274270,900,shopify,15,deny,manual,14.50,14.50,TRUE,8801007274270,8.17,active,O,O,O,-,7 Left,2 Left,2 Left,4 Left,CFC,
